偏好品类,用户数,流失率,平均订单数
Mobile Phone,2080,0.2740384615384615,2.1826923076923075
Fashion,826,0.1549636803874092,3.865617433414044
Laptop & Accessory,2050,0.1024390243902439,2.766341463414634
Others,264,0.0757575757575757,5.25
Grocery,410,0.048780487804878,4.597560975609756
